ProblemName,T_default,T_farkasdiving,N_default,N_farkasdiving,DivingSolsMax_default,DivingSolsMax_farkasdiving,FDSols_default,FDSols_farkasdiving,DivingBestSolsMax_default,DivingBestSolsMax_farkasdiving,FDBestSols_default,FDBestSols_farkasdiving,DivingConfsMax_default,DivingConfsMax_farkasdiving,FDConfs_default,FDConfs_farkasdiving,TQ+1_default,TQ+1_farkasdiving,NQ+100_default,NQ+100_farkasdiving
eilB101,432.96,461.51,10965,12556,0,3,0,4,0,0,0,0,71,39,0,39,1,1.06578947368421,1,1.1437867148667
eilB101,375.87,528.13,10774,16616,5,2,0,5,0,1,0,1,14,69,0,69,1,1.40401199352562,1,1.53724480411992
eilB101,497.08,343.99,15515,10412,0,0,0,5,0,1,0,1,38,8,0,8,1,0.6926397365885,1,0.673198847262248
enigma,0.5,0.5,215,664,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2.42539682539683
enigma,0.5,0.5,580,657,0,0,0,0,0,0,0,0,6,6,0,0,1,1,1,1.11323529411765
enigma,0.5,0.5,946,514,0,0,0,0,0,0,0,0,3,4,0,4,1,1,1,0.586998087954111
enigma,0.52,0.5,1485,940,0,0,0,0,0,0,0,0,12,4,0,0,1,0.986842105263158,1,0.65615141955836
enlight13,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
enlight13,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
enlight13,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
enlight13,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
enlight14,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
enlight14,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
enlight14,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
enlight14,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ex9,27.49,27.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.988767988767989,1,1
ex9,26.39,26.36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.998904709748083,1,1
ex9,27.06,26.83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.991803278688525,1,1
ex9,26.37,25.87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.981731823164048,1,1
fast0507,268.91,148.86,1067,726,11,0,0,26,0,0,0,0,4,5,0,5,1,0.555222111074062,1,0.707797772065124
fast0507,168.78,166.87,667,839,9,0,0,26,0,0,0,0,1,8,0,8,1,0.988750147249382,1,1.22425032594524
fast0507,160.64,136.65,737,618,15,0,0,34,0,0,0,0,1,5,0,5,1,0.851583766394457,1,0.857825567502987
fast0507,192.3,221.89,930,1065,20,0,0,25,0,0,0,0,3,43,0,43,1,1.15307811691671,1,1.13106796116505
fiball,1741.07,1760.37,4050,4050,0,0,0,0,2,2,0,0,80,80,0,0,1,1.01107877410207,1,1
fiball,7200,7200,18110,17854,2,2,0,0,2,2,0,0,485,481,0,0,1,1,1,0.985941790225151
fiball,2368.37,2413.69,5996,5996,1,1,0,0,1,1,0,0,64,64,0,0,1,1.01912744738053,1,1
fiball,1553.82,1568.42,3686,3686,1,1,0,0,1,1,0,0,25,25,0,0,1,1.00939015448734,1,1
fiber,2.16,2.38,5,5,0,0,0,0,0,0,0,0,0,8,0,8,1,1.06962025316456,1,1
fiber,1.93,2.26,4,5,0,0,0,0,0,0,0,0,0,2,0,2,1,1.11262798634812,1,1.00961538461538
