ProblemName,T_coefdiving,T_conflictdiving-no-coefdiving,T_no-coefdiving,N_coefdiving,N_conflictdiving-no-coefdiving,N_no-coefdiving,CoefSols_coefdiving,CoefSols_conflictdiving-no-coefdiving,CoefSols_no-coefdiving,ConfSols_coefdiving,ConfSols_conflictdiving-no-coefdiving,ConfSols_no-coefdiving,CoefBestSols_coefdiving,CoefBestSols_conflictdiving-no-coefdiving,CoefBestSols_no-coefdiving,ConfBestSols_coefdiving,ConfBestSols_conflictdiving-no-coefdiving,ConfBestSols_no-coefdiving,CoefConfs_coefdiving,CoefConfs_conflictdiving-no-coefdiving,CoefConfs_no-coefdiving,ConfConfs_coefdiving,ConfConfs_conflictdiving-no-coefdiving,ConfConfs_no-coefdiving,CoefAvgDepth_coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving,CoefAvgDepth_no-coefdiving,ConfAvgDepth_coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving,ConfAvgDepth_no-coefdiving,TQ+1_coefdiving,TQ+1_conflictdiving-no-coefdiving,TQ+1_no-coefdiving,NQ+100_coefdiving,NQ+100_conflictdiving-no-coefdiving,NQ+100_no-coefdiving
biella1,1223.12,1153.38,806.34,4551,3849,1684,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,194.5,0,0,0,240.7,0,1.51623851165556,1.42985607055268,1,2.60706278026906,2.21356502242152,1
bienst1,155.01,115.96,204.61,16090,11409,25970,0,0,0,0,2,0,0,0,0,0,2,0,22,0,0,0,38,0,17.7,0,0,0,19.5,0,0.758766596955401,0.568843927824522,1,0.621020329881089,0.441465285769083,1
bienst1,121.4,123.1,196.83,9901,10018,20587,0,0,0,0,2,0,0,0,0,0,2,0,20,0,0,0,46,0,17.3,0,0,0,18.6,0,0.618713036445433,0.627306273062731,1,0.483443708609272,0.489099434427418,1
bienst1,125.78,134.54,153.57,9304,12736,13823,1,0,0,0,1,0,1,0,0,0,1,0,53,0,0,0,21,0,16.9,0,0,0,17.7,0,0.820210907679369,0.876884259558776,1,0.675429146017381,0.921927745457157,1
bienst1,147.14,174.43,160.17,15248,19016,16868,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,7,0,18.1,0,0,0,20.3,0,0.919153688651734,1.08847800459143,1,0.904526166902404,1.12659123055163,1
bienst2,658.5,607.36,812.52,62497,58870,88717,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,17.3,0,0,0,23,0,0.810674599272298,0.747811977578916,1,0.704786245876353,0.663949469133161,1
bienst2,743.27,658.09,669.8,81035,67204,65095,0,0,0,0,1,0,0,0,0,0,1,0,11,0,0,0,12,0,17.9,0,0,0,22.3,0,1.1095259391771,0.982543231961837,1,1.24449727739857,1.03234910652657,1
bienst2,600.41,667.4,703.95,62789,71954,73577,1,0,0,0,2,0,1,0,0,0,2,0,23,0,0,0,10,0,17.8,0,0,0,21.9,0,0.853124335059224,0.948152351230584,1,0.85357710004479,0.977971415774258,1
bienst2,581.42,518.82,579.96,60072,50864,58053,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,17.8,0,0,0,22.9,0,1.00251308179565,0.894760396584963,1,1.03471875913538,0.876377830894365,1
binkar10_1,34.17,36.35,34.61,2435,2407,2288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.4,0,0,0,34.1,0,0.987643920247121,1.04886267902275,1,1.06155778894472,1.0498324958124,1
